Year,age of mother,Value
2010,10 to under 15 years,0.1
2011,10 to under 15 years,0.1
2012,10 to under 15 years,0.1
2013,10 to under 15 years,0.1
2014,10 to under 15 years,0.1
2015,10 to under 15 years,0.1
2016,10 to under 15 years,0.1
2017,10 to under 15 years,0.1
2018,10 to under 15 years,0.1
2019,10 to under 15 years,0.1
2020,10 to under 15 years,0.1
2021,10 to under 15 years,0.1
2010,15 to under 20 years,9.3
2011,15 to under 20 years,8.3
2012,15 to under 20 years,8.0
2013,15 to under 20 years,7.8
2014,15 to under 20 years,7.8
2015,15 to under 20 years,7.9
2016,15 to under 20 years,9.2
2017,15 to under 20 years,8.1
2018,15 to under 20 years,7.4
2019,15 to under 20 years,6.9
2020,15 to under 20 years,6.5
2021,15 to under 20 years,5.9
